model_name,hpo_type,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,cohen_kappa,cohen_kappa,TPR,TPR,TNR,TNR,PPV,PPV,NPV,NPV,FPR,FPR,FNR,FNR,FDR,FDR,FOR,FOR,MCC,MCC
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
AdaBoostClassifier,pfs_bayes,0.5000666666666667,0.0,0.4947749756165528,0.0,0.47831357758620696,0.0,0.4864050407506335,0.0,0.503169843271373,0.0,-0.000303207878168843,0.0,0.47831357758620696,0.0,0.5213833157338965,0.0,0.4947749756165528,0.0,0.5049213856576761,0.0,0.4786166842661035,0.0,0.5216864224137931,0.0,0.5052250243834471,0.0,0.4950786143423239,0.0,-0.0003033725861980452,0.0
AdaBoostClassifier,skb_grid,0.5032666666666666,0.0,0.49433487201007137,0.0,0.15867456896551724,0.0,0.24023656571836444,0.0,0.5042684027430088,0.0,-0.00038294979755870706,0.0,0.15867456896551724,0.0,0.8409450897571278,0.0,0.49433487201007137,0.0,0.5049536339858921,0.0,0.15905491024287222,0.0,0.8413254310344828,0.0,0.5056651279899287,0.0,0.49504636601410795,0.0,-0.0005202024013071246,0.0
DecisionTreeClassifier,pfs_bayes,0.50084,0.003658603929923197,0.4952322139239477,0.004117278587560044,0.4429889547413793,0.005433688490534301,0.4676449227053937,0.00431852284386178,0.5002138110661816,0.004240751358460252,0.000519950514292633,0.007311863128604906,0.4429889547413793,0.005433688490534301,0.5575303590285111,0.006201620668364572,0.4952322139239477,0.004117278587560044,0.5052962945948674,0.0032813116831517442,0.4424696409714889,0.006201620668364531,0.5570110452586208,0.005433688490534303,0.5047677860760523,0.004117278587560053,0.4947037054051327,0.0032813116831517538,0.0005238901667115456,0.007351149562569369
DecisionTreeClassifier,skb_grid,0.5028133333333333,0.00251426547210064,0.4979421849167018,0.003967121550347155,0.391729525862069,0.17703883587302524,0.4177358870382924,0.11596505666897641,0.5020735211405886,0.0027337159142631793,0.003405541268105783,0.003438200602874909,0.391729525862069,0.17703883587302524,0.6116684266103485,0.17712918682122245,0.4979421849167018,0.003967121550347155,0.5066537110439434,0.0018617044080028605,0.3883315733896515,0.17712918682122245,0.608270474137931,0.1770388358730253,0.5020578150832982,0.00396712155034717,0.4933462889560566,0.0018617044080028588,0.003908179597795372,0.004033573775456188
ExtraTreesClassifier,pfs_bayes,0.5042099999999999,0.00038427420765212335,0.49800238249282885,0.0008984812609760325,0.21635910560344826,0.010287322086754189,0.3015327164706325,0.010023528979723986,0.5040540827356779,0.000765983239279643,0.00265978991122382,0.0008089680203603329,0.21635910560344826,0.010287322086754189,0.7862856388595565,0.010046951082700113,0.49800238249282885,0.0008984812609760325,0.5059099015596153,0.0002602237874101372,0.2137143611404435,0.010046951082700085,0.7836408943965517,0.010287322086754208,0.5019976175071712,0.0008984812609760244,0.49409009844038465,0.00026022378741016145,0.003216240763391174,0.0009622307866538036
ExtraTreesClassifier,skb_grid,0.5039033333333334,0.0003312714004268112,0.4971551864037503,0.0007143575448058677,0.20394665948275864,0.0066272525146263495,0.2891785380920833,0.006491346278511112,0.5047819216956394,0.0006171057576920468,0.0017992341415073664,0.0005374230226832529,0.20394665948275864,0.0066272525146263495,0.7978418690601901,0.007109922663729681,0.4971551864037503,0.0007143575448058677,0.5056265145273594,0.0001638260024125279,0.20215813093980994,0.007109922663729727,0.7960533405172414,0.006627252514626351,0.5028448135962498,0.000714357544805896,0.4943734854726406,0.00016382600241257513,0.0022303907772168105,0.0006850719911301753
RandomForestClassifier,pfs_bayes,0.4995566666666667,0.0014558566270476544,0.49304526720395847,0.001921454917691235,0.39636988146551727,0.019699748844236337,0.4392229907580408,0.012644291957088003,0.49924836793018956,0.0012743682432242035,-0.0029630730419510478,0.0030060618896494075,0.39636988146551727,0.019699748844236337,0.6006731784582893,0.018838545809718596,0.49304526720395847,0.001921454917691235,0.5038475261392402,0.0012387041231375104,0.3993268215417106,0.018838545809718586,0.6036301185344828,0.019699748844236326,0.5069547327960415,0.0019214549176911938,0.4961524738607598,0.00123870412313754,-0.003030983695820048,0.003075043141557037
RandomForestClassifier,skb_grid,0.5010100000000001,0.0025103268195079244,0.4955838329936748,0.002697334424336671,0.4590719288793103,0.008516052227460918,0.47659204454773246,0.004923188232106073,0.49983546110441496,0.001532486989307142,0.0011795843062108679,0.004992348569054304,0.4590719288793103,0.008516052227460918,0.5421066525871172,0.009308172259834132,0.4955838329936748,0.002697334424336671,0.505605327145793,0.00231998982271273,0.4578933474128828,0.009308172259834175,0.5409280711206896,0.008516052227460935,0.5044161670063252,0.0026973344243367055,0.49439467285420696,0.002319989822712728,0.001183858211000694,0.005003093611987416
XGBClassifier,pfs_bayes,0.5045666666666667,0.0,0.49948850849075904,0.0,0.49326508620689663,0.0,0.49635729050184685,0.0,0.5017906505386225,0.0,0.008907699057673413,0.0,0.49326508620689663,0.0,0.5156414994720169,0.0,0.49948850849075904,0.0,0.5094216600378171,0.0,0.48435850052798307,0.0,0.5067349137931034,0.0,0.5005114915092409,0.0,0.4905783399621829,0.0,0.008908376923622011,0.0
